Nº;Configuracion;Peso maximo (T);Largo;Ancho;Alto;Imagen
1;S1-D1;16,5;13,2;2,6;4,3;S1-D1.png
2;S1-D2;24;13,2;2,6;4,3;S1-D2.png
3;S1-D3;31,5;13,2;2,6;4,3;S1-D3.png
4;S2-D2;28;13,2;2,6;4,3;S2-D2.png
5;S2-D3;35,5;13,2;2,6;4,3;S2-D3.png
6;S1-S1-D2;30;13,2;2,6;4,3;S1-S1-D2.png
7;S1-S1-D3;37,5;13,2;2,6;4,3;S1-S1-D3.png
8;S1-D1-D1;27;18,6;2,6;4,3;S1-D1-D1.png
9;S1-D1-D2;34,5;18,6;2,6;4,3;S1-D1-D2.png
10;S1-D1-D3;42;18,6;2,6;4,3;S1-D1-D3.png
11;S1-D2-D2;42;18,6;2,6;4,3;S1-D2-D2.png
12;S1-D2-D1-D1;45;18,6;2,6;4,3;S1-D2-D1-D1.png
13;S1-D2-D3;49,5;18,6;2,6;4,3;S1-D2-D3.png
14;S1-D1-D1-D2;45;18,6;2,6;4,3;S1-D1-D1-D2.png
15;S1-D1-D1-D1-D1;45;18,6;2,6;4,3;S1-D1-D1-D1-D1.png
16;S1-D1-D1-D1;37,5;20;2,6;4,3;S1-D1-D1-D1.png
17;S1-D1-D1-D2;45;20;2,6;4,3;S1-D1-D1-D2 2.png
18;S1-D2-D1-D1;45;20;2,6;4,3;S1-D2-D1-D1 2.png
19;S1-D2-D1-D2;52,5;20;2,6;4,3;S1-D2-D1-D2.png
20;S1-D1-D2-D2;52,5;20;2,6;4,3;S1-D1-D2-D2.png
21;S1-D1-D1-D1-D1;45;20,5;2,6;4,3;S1-D1-D1-D1-D1 2.png
22;S1-D2-D2;42;22,4;2,6;4,3;S1-D2-D2 2.png
23;S1-D2-D1-D1;45;22,4;2,6;4,3;S1-D2-D1-D1 3.png
24;S1-D2-D1-D2;52,5;18,6;2,6;4,3;S1-D2-D1-D2 2.png
25;S1-D2-D1-D1-D1;55,5;18,6;2,6;4,3;S1-D2-D1-D1-D1.png
26;S1-D2-D2-D2;60;20,5;2,6;4,3;S1-D2-D2-D2.png
27;S1-D2-D2-D2;60;22,4;2,6;4,3;S1-D2-D2-D2 2.png
28;S1-D2-D3-D3;75;entre 22,40 y 25,50;2,6;4,3;S1-D2-D3-D3.png
29;S1-D2-D3-D3;75;entre 25,50 y 30,25;2,6;4,3;S1-D2-D3-D3 2.png
